artist.name,duration,tempo,title,year
Casual,218.93178999999998,92.198,I Didn't Mean To,0
The Box Tops,148.03546,121.274,Soul Deep,1969
Sonora Santanera,177.47546,100.07,Amor De Cabaret,0
Adam Ant,233.40363,119.29299999999999,Something Girls,1982
Gob,209.60608,129.738,Face the Ashes,2007
Jeff And Sheri Easter,267.7024,147.782,The Moon And I (Ordinary Day Album Version),0
Rated R,114.78159,111.787,Keepin It Real (Skit),0
Tweeterfriendly Music,189.57016000000002,101.43,Drop of Rain,0
Planet P Project,269.81832,86.64299999999999,Pink World,1984
Clp,266.39628,114.041,Insatiable (Instrumental Version),0
JennyAnyKind,218.77506,146.765,Young Boy Blues,0
Wayne Watson,245.21097999999998,117.975,The Urgency (LP Version),0
Andy Andy,226.35057,130.04,La Culpa,0
Bob Azzam,191.84281000000001,137.334,Auguri Cha Cha,0
Lionel Richie,307.3824,125.197,Tonight Will Be Alright,1986
Blue Rodeo,491.12771,119.82600000000001,Floating,1987
Richard Souther,228.5971,127.756,High Tide,0
Faiz Ali Faiz,599.24853,99.273,Sohna Nee Sohna Data,0
Tesla,290.29832000000005,150.062,Caught In A Dream,2004
lextrical,165.69423999999998,138.33100000000002,Synthetic Dream,0
Jimmy Wakely,151.84933999999998,86.186,Broken-Down Merry-Go-Round,0
Alice Stuart,220.78649,110.382,Kassie Jones,0
Elena,269.58322000000004,111.874,Setanta matins,0
The Dillinger Escape Plan,207.77751,166.862,Setting Fire to Sleeping Giants,2004
SUE THOMPSON,124.86485,137.52200000000002,James (Hold The Ladder Steady),1985
Five Bolt Main,225.09669,164.672,Made Like This (Live),0
Clp,338.31138,125.006,Superconfidential,0
Tim Wilson,186.48771000000002,90.022,I Think My Wife Is Running Around On Me (Taco Hell),2005
Willie Bobo,168.25423999999998,127.025,Spanish Grease,1997
Faye Adams,156.39465,95.95700000000001,Crazy Mixed Up World,1961
Terry Callier,342.56934,110.189,Do You Finally Need A Friend,1972
John Wesley,484.62322,138.007,The Emperor Falls,0
The Shangri-Las,164.80608,130.1,Twist and Shout,1964
Billie Jo Spears,133.32853,160.839,It Makes No Difference Now,1992
Mike Jones (Featuring CJ_ Mello & Lil' Bran),173.66159,41.993,Laws Patrolling (Album Version),0
Sierra Maestra,313.12934,189.646,A?DA3nde va Chichi?,1997
Butthole Surfers,450.84689000000003,130.586,"Barking Dogs (From ""Piouhgd"")",0
Despina Vandi,303.09832,128.292,OUTE ENA EFHARISTO,0
Javier Navarrete,128.83546,90.932,Midnight Swim,0
Jacob Young,456.30649000000005,89.667,In A Subtle Way,0
Scarlet's Remains,198.73914,115.061,Spin,2007
The Suicide Machines,95.68608,115.887,Burning In The Aftermath,2003
The Rolling Stones,271.49016,139.333,Angie (1993 Digital Remaster),0
Roberto Torres,226.66404,117.271,Sabor Guajiro,0
Loudon Wainwright III,190.48443999999998,102.428,Human Cannonball,1995
R.L. Burnside,277.78567000000004,89.984,Glory Be,2004
Stevie Ray Vaughan,248.78975,116.721,Crossfire,1992
